time = 	1
x	y	z	u*	u	|u* - u|
			-0,737393715541245	-0,602587727083041	0,134805988458205
2,4	3,4	3,4	-0,966798192579461	-0,795683632994867	0,171114559584594
			-0,966798192579461	-0,804096045993199	0,162702146586263
			-0,737393715541245	-0,59507029061212	0,142323424929125
1,4	1,4	4,4	0,169967142900241	0,171891007688107	0,00192386478786563
			-0,307332869978419	-0,269545662193348	0,0377872077850713
			0,169967142900241	0,162372166454356	0,00759497644588494
1,4	2,4	4,4	-0,737393715541245	-0,600081914945352	0,137311800595894
			-0,307332869978419	-0,2695456621993	0,0377872077791193
			0,169967142900241	0,171042819387426	0,00107567648718479
1,4	3,4	4,4	-0,966798192579461	-0,801291908319237	0,165506284260225
			-0,307332869978419	-0,269545662187274	0,0377872077911455
			0,169967142900241	0,173587384273758	0,0036202413735168
2,4	1,4	4,4	0,169967142900241	0,171891007687896	0,00192386478765452
			-0,307332869978419	-0,252095960862826	0,0552369091155931
			-0,737393715541245	-0,630450800915386	0,106942914625859
2,4	2,4	4,4	-0,737393715541245	-0,600081914934815	0,137311800606431
			-0,307332869978419	-0,252095960876115	0,0552369091023042
			-0,737393715541245	-0,602587727112418	0,134805988428827
2,4	3,4	4,4	-0,966798192579461	-0,801291908321092	0,165506284258369
			-0,307332869978419	-0,252095960868484	0,055236909109935
			-0,737393715541245	-0,595070290631932	0,142323424909314
time = 	3
x	y	z	u*	u	|u* - u|
1,4	1,4	1,4	0,169967142900241	0,162808955213194	0,00715818768704674
			0,169967142900241	0,162808955211369	0,00715818768887197
			0,169967142900241	0,162808955215611	0,00715818768463014
1,4	2,4	1,4	-0,737393715541245	-0,629144468369365	0,10824924717188
			0,169967142900241	0,162808955204649	0,00715818769559159
			0,169967142900241	0,172418185322524	0,0024510424222827
1,4	3,4	1,4	-0,966798192579461	-0,835563814959254	0,131234377620207
			0,169967142900241	0,162808955222957	0,00715818767728443
			0,169967142900241	0,175387841293879	0,00542069839363837
2,4	1,4	1,4	0,169967142900241	0,162808955210469	0,00715818768977158
			0,169967142900241	0,172418185321979	0,0024510424217381
			-0,737393715541245	-0,629144468362338	0,108249247178907
2,4	2,4	1,4	-0,737393715541245	-0,629144468359714	0,108249247181531
			0,169967142900241	0,172418185318447	0,00245104241820571
			-0,737393715541245	-0,59847036606636	0,138923349474885
2,4	3,4	1,4	-0,966798192579461	-0,835563814966046	0,131234377613415
			0,169967142900241	0,17241818532696	0,00245104242671867
			-0,737393715541245	-0,589675635081958	0,147718080459287
1,4	1,4	2,4	0,169967142900241	0,172418185321272	0,00245104242103053
			-0,737393715541245	-0,629144468374571	0,108249247166675
			0,169967142900241	0,162808955211445	0,00715818768879639
